,,,,Date,Market cap,Volume,Supersector,Sector,Revision_real,Revision_20,mom,mom_short,30d_vol
1468826D US,03/Nov/2010,08/Feb/2012,31/Dec/2010,03/Nov/2010,590.5862,4.018538333,Financial Services,Financial Services,-0.013404825737265313,-0.020107238605898137,1.3701716738197425,0.9953014878621771,0.02119678035529952
1477069D US,01/Mar/2010,10/May/2010,31/Mar/2010,01/Mar/2010,984.9995,10.32854239,Oil & Gas,Oil & Gas Producers,-0.03809523809523818,-0.015238095238095273,4.760089686098655,1.0146019783325482,0.03210302573251225
1477069D US,10/May/2010,09/Aug/2010,30/Jun/2010,10/May/2010,1101.3681,11.32286869,Oil & Gas,Oil & Gas Producers,0.08259212198221078,0.3354510800508257,2.8468468468468466,0.8951740506329113,0.03261982480936847
1477069D US,09/Aug/2010,05/Nov/2010,30/Sep/2010,09/Aug/2010,1217.3846,9.769050052,Oil & Gas,Oil & Gas Producers,-0.0038058991436726863,0.0913415794481447,1.7686440677966102,1.1058936272160995,0.02935664716072886
1477069D US,05/Nov/2010,28/Feb/2011,31/Dec/2010,05/Nov/2010,1538.7320000000002,8.421767496000001,Oil & Gas,Oil & Gas Producers,0.018761726078799335,0.06003752345215774,1.6331994645247656,1.1967213114754098,0.020370467583693194
1498499D US,24/Feb/2010,05/May/2010,31/Mar/2010,24/Feb/2010,3177.0,11.17968717,Insurance,Nonlife Insurance,-0.009966777408637828,-0.02392026578073081,1.2644155844155844,1.0312243221035333,0.010582414240159954
1498499D US,05/May/2010,04/Aug/2010,30/Jun/2010,05/May/2010,3023.1479999999997,18.74805366,Insurance,Nonlife Insurance,-0.0034602076124568004,0.0038062283737023694,1.2094110904976059,0.929344443328983,0.009774512825963333
1498499D US,04/Aug/2010,03/Nov/2010,30/Sep/2010,04/Aug/2010,3004.95,13.02876865,Insurance,Nonlife Insurance,-0.0016966406515100951,-0.0078045469969461045,0.9563152105800538,1.0918142910820496,0.013264718815784041
1498499D US,03/Nov/2010,23/Feb/2011,31/Dec/2010,03/Nov/2010,3149.5679,9.056396301,Insurance,Nonlife Insurance,0.005778382053025055,0.015295717199184322,0.9897134552015336,1.0471060360542839,0.008140815447858822
1500785D US,05/Feb/2010,05/May/2010,31/Mar/2010,05/Feb/2010,3191.5472,25.90084444,Utilities,Electricity,-0.007633587786259555,0.0,1.4310134310134313,0.9360068259385665,0.01160515115784404
1500785D US,05/May/2010,05/Aug/2010,30/Jun/2010,05/May/2010,3577.8293,17.08070032,Utilities,Electricity,0.009774436090225658,0.015789473684210353,1.4407986194333924,1.0086670104636268,0.01202618040485151
1500785D US,05/Aug/2010,28/Oct/2010,30/Sep/2010,05/Aug/2010,3628.0441,23.44971908,Utilities,Electricity,0.0043604651162789665,0.01744186046511631,1.19737035713535,1.1224314241825764,0.01442908914428267
1500785D US,28/Oct/2010,04/Feb/2011,31/Dec/2010,28/Oct/2010,3718.8359,19.19069577,Utilities,Electricity,-0.0056457304163725075,-0.007762879322512295,1.2822582973277266,0.9925554029613285,0.008690543697961031
1504558D US,12/Feb/2010,23/Apr/2010,31/Mar/2010,12/Feb/2010,2106.7305,11.03718969,Industrial Goods & Services,Industrial Engineering,0.007633587786259444,0.03320610687022896,1.8317432784041632,0.9377367424242423,0.016508945132311888
1504558D US,23/Apr/2010,23/Jul/2010,30/Jun/2010,23/Apr/2010,2535.4463,9.754939234,Industrial Goods & Services,Industrial Engineering,0.03175169461291483,0.07670353193007506,1.746671505275645,1.1442486199323985,0.01295985107750527
1504558D US,23/Jul/2010,22/Oct/2010,30/Sep/2010,23/Jul/2010,2614.2308,23.11993575,Industrial Goods & Services,Industrial Engineering,0.025748310267138752,0.05342774380431292,1.5897381699168147,1.0807824113986215,0.02099167838165051
1504558D US,22/Oct/2010,11/Feb/2011,31/Dec/2010,22/Oct/2010,2950.9973,9.964258083999999,Industrial Goods & Services,Industrial Engineering,0.04750801515593106,0.11483532497814042,1.4075431165622099,1.0943682064834324,0.01288160439476297
1508335D US,22/Apr/2010,22/Jul/2010,30/Jun/2010,22/Apr/2010,1605.0516,8.674666927999999,Travel & Leisure,Travel & Leisure,0.013392857142857206,0.05208333333333326,1.7026239067055395,1.3273972602739725,0.02388239920368129
