Ticker,Date,Revision,Market cap,Volume
2330 TT,2017-10-20,-0.003047881,204898.5297,186.1131038
2331 HK,2017-08-11,-0.012121343,1631.5739,6.376781848
2331 JP,2017-10-31,0.000156104,4882.9858,11.89342947
2333 HK,2017-10-26,-0.106538462,15761.287,76.02157172
2337 JP,2017-10-13,0.00015087,1816.2548,7.649796052
2337 TT,2017-10-27,0.013135361,3536.815,76.51707574
2338 HK,2017-10-30,0.279475772,9609.6594,13.45567171
2344 TT,2017-10-26,0.112809812,3122.9185,70.17863877
2345 TT,2017-11-14,0.019813838,1689.7421,17.43552324
2347 TT,2017-11-15,0.024331987,2058.5106,5.047186156
2352 TT,2017-11-08,-0.197261977,1452.1965,6.075440295
2353 TT,2017-11-10,0.315944265,1619.8824,3.7668376
2354 TT,2017-11-15,-0.016654121,4153.0734,20.57792698
2356 TT,2017-11-13,-0.000884723,2804.4788,6.193992518
2357 HK,2017-08-30,-0.009034285,3506.7928,7.268942829
2357 TT,2017-11-13,0.020159257,6372.3513,8.768168885
2360 TT,2017-10-31,0.188661464,1800.2687,11.34666334
2362 JP,2017-11-07,0.331391316,541.7449,3.97307215
2371 JP,2017-11-02,0.010131437,2975.6586,27.59153255
2376 TT,2017-11-14,0.017487361,905.8363,9.142687936
2377 TT,2017-11-13,0.03893237,2168.8812,18.14908336
2379 TT,2017-11-14,0,1938.4184,7.500146478
2380 HK,2017-08-24,-0.054240877,2416.0604,7.441944614
2382 HK,2017-08-14,0.131274067,14558.7818,91.61111586
2382 TT,2017-11-15,-0.05371522,9265.0774,11.28260012
2383 TT,2017-10-31,-0.054415996,1269.9375,12.61681393
2386 HK,2017-08-21,-0.046142414,4148.2612,3.351645018
2388 HK,2017-10-31,0.009534964,51984.1692,46.93767509
2392 TT,2017-11-13,0.294587343,817.9853,7.065841107
2393 TT,2017-11-15,0,671.6822,4.76931252
2395 TT,2017-10-31,-0.02014712,4760.8643,6.142873124
2408 TT,2017-10-18,0.247427806,7823.415,73.54709629
240810 KS,2017-11-06,-0.024074754,1354.4928,8.663733619
2409 TT,2017-10-27,0.079670509,3991.0216,30.92619166
2412 TT,2017-10-30,-0.002742532,26470.664,22.92715284
2413 JP,2017-10-26,0.00411104,9291.7575,32.20249601
241560 KS,2017-11-03,-0.035255021,3240.0862,4.971074463
2427 JP,2017-11-02,0.037146195,1410.572,19.31884742
2432 JP,2017-08-10,-0.066209675,3369.0144,49.19353157
2433 JP,2017-08-07,0.001313368,5508.7517,7.995040022
2439 TT,2017-10-26,-0.008790456,1293.8126,41.85332922
2440 JP,2017-10-31,-0.217267635,751.5281,4.876764747
2448 TT,2017-11-13,0.310674011,2107.9638,78.84871913
2449 TT,2017-11-07,-0.033499943,1240.9948,6.646557185
2454 TT,2017-10-31,0.04213751,17971.5732,90.25178824
2456 TT,2017-11-08,-0.023926039,754.1089,15.19392431
2458 TT,2017-11-10,-0.000195084,705.796,11.44982548
2474 TT,2017-11-07,0.011570366,8574.6455,88.23492358
2492 TT,2017-10-31,-0.012053571,1252.9086,7.77089146
2497 JP,2017-11-01,-0.210449009,750.6488,16.25241111
2498 TT,2017-11-10,0.201695464,1834.0726,25.22115283
2501 JP,2017-11-03,0.116475994,2527.7161,11.20259773
2502 JP,2017-11-03,0.021843555,22189.254,63.60339653
2503 JP,2017-11-01,-0.003431496,21744.4845,65.24677715
251270 KS,2017-11-08,0.008712242,14135.1911,46.07760541
2531 JP,2017-11-08,0,2185.6022,6.628684912
257 HK,2017-08-15,0.040282733,5993.068,12.66771853
2579 JP,2017-10-30,-0.105190984,7075.8922,20.42062173
2580 JP,2017-02-10,0,2720.8488,6.501799953
2587 JP,2017-11-03,-0.026952096,14083.6182,20.20079982
2593 JP,2017-12-04,0,3269.5011,8.666515783
2600 HK,2017-10-26,0.075,17000.5377,53.2648919
2601 HK,2017-10-27,0.071352452,52939.4213,62.29064258
2603 TT,2017-11-13,-0.020331747,1955.847,16.91787435
2607 HK,2017-10-30,-0.001009514,9682.8297,9.253727294
2607 JP,2017-11-08,-0.014684461,2311.3394,8.705239581
2609 TT,2017-11-09,-0.273097826,632.4157,3.373129522
2610 TT,2017-11-06,-0.073791049,2138.4823,7.184015107
2611 HK,2017-10-30,0,25640.4134,3.073566424
2618 TT,2017-11-13,0.385737642,2039.0994,3.260538481
2628 HK,2017-10-26,0.152338995,115697.669,125.1071554
2651 JP,2017-10-12,-0.000522048,6762.8002,20.71786105
2666 HK,2017-08-22,-0.011553743,1458.3052,3.175134095
267 HK,2017-08-29,0.035909492,44985.3255,11.99348157
2670 JP,2017-10-12,-0.009280213,4426.8855,13.83492588
2678 JP,2017-12-18,0.110693363,1566.7209,6.861211295
268 HK,2017-08-16,-0.054405874,1199.1482,5.050005697
2685 JP,2017-12-29,-0.479051218,1076.229,6.433688344
2688 HK,2017-08-25,0.025783753,6749.2133,19.01875469
2689 HK,2017-09-22,0.213333333,9522.3594,29.49041925
2695 JP,2017-12-14,0.044327964,991.7168,3.781277597
27 HK,2017-11-09,0.02826781,31190.2283,75.65815572
270 HK,2017-10-30,0.003587532,9371.1177,8.710022436
2702 JP,2017-11-09,0,5790.2689,11.36776833
271560 KS,2017-11-14,-0.08333331,4325.4447,9.819590075
2727 HK,2017-10-30,-0.02221733,16587.5341,7.540912419
2730 JP,2017-11-08,0,1118.5807,3.454449394
2768 JP,2017-11-02,0.020772307,3586.9957,29.23745086
2777 HK,2017-10-30,0.006007228,7089.3899,27.63163556
2784 JP,2017-11-07,0.024512926,4552.1241,9.509190472
2801 JP,2017-11-02,0.004654255,7237.7427,19.3166314
2802 JP,2017-11-07,-0.008395059,11595.4901,33.85021385
2809 JP,2017-10-03,-0.001028747,3645.4433,12.72118275
