,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Security type,Market cap
INS GR,2018-01-22,2018-02-15,2018-01-22,2018-02-15,INS GR,Instone Real Estate Group AG,477.494,20.35,21.5,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",982.362,0.0,-2.325581312,"BNP Paribas, Credit Suisse, Deutsche Bank, Morgan Stanley, UniCredit",Common,982.362
8TRA GR,2019-06-13,2019-06-28,2019-06-13,2019-06-28,8TRA GR,Traton SE,1564.16,50.0,27.0,"IPO,Secondary Share Offering,REG S,Rule 144A",15344.1,0.0,-2.222222328,"Bank of America Merrill Lynch, Barclays, BNP Paribas, Citi, Deutsche Bank, Goldman Sachs, JP Morgan, SEB, UniCredit",Common,15344.1
SHLF NO,2018-06-04,2018-06-25,2018-06-04,2018-06-25,SHLF NO,Shelf Drilling Ltd,226.084,0.0,65.35,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",893.549,2.334933242e-06,-2.065797329,"Clarksons Platou Securities, DNB ASA",Common,893.549
ENX FP,2014-05-27,2014-06-20,2014-05-27,2014-06-20,ENX FP,Euronext NV,1150.52,42.1082,20.0,"IPO,Secondary Share Offering,Rule 144A",1906.94,-3.0,-2.0,"ABN Amro Bank NV, Goldman Sachs, ING Groep, JP Morgan, Morgan Stanley, Societe Generale",Common,1906.94
CERV IM,2014-04-06,2014-06-18,2014-04-06,2014-06-18,CERV IM,Cerved Group SpA,587.122,84.0,5.1,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1350.03,-0.9803903103,-1.960782528,"Intesa Sanpaolo, BNP Paribas, Deutsche Bank, HSBC, JP Morgan, Mediobanca, UniCredit",Common,1350.03
EUCAR FP,2015-05-21,2015-06-26,2015-05-21,2015-06-26,EUCAR FP,Europcar Mobility Group,999.547,0.0,12.25,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",1961.72,0.0,-1.632653117,"BNP Paribas, Credit Agricole CIB, Deutsche Bank, Goldman Sachs, HSBC, Morgan Stanley, Societe Generale",Common,1961.72
AVST LN,2018-04-12,2018-05-10,2018-04-12,2018-05-10,AVST LN,Avast PLC,856.44,0.0,250.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",3214.92,-0.400000006,-1.600000024,"Bank of America Merrill Lynch, Barclays, Credit Suisse, Jefferies, Morgan Stanley, UBS",Common,3214.92
APR LN,2010-01-22,2010-02-04,2010-01-22,2010-02-04,APR LN,APR Energy Ltd,669.757,0.0,1000.0,"IPO,Primary Share Offering,SPAC",0.0,0.0,-1.25,Credit Suisse,Common,636.679591999054
ADES LN,2017-04-03,2017-05-09,2017-04-03,2017-05-09,ADES LN,ADES International Holding PLC,243.477,0.0,16.5,"IPO,Primary Share Offering,Secondary Share Offering,REG S,Rule 144A",696.35,0.0,-1.212121248,"Citi, EFG-Hermes",Common,696.35
NOEJ GR,2011-03-11,2011-04-08,2011-03-11,2011-04-08,NOEJ GR,Norma Group SE,466.301,0.0,21.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",0.0,0.0,-1.142857194,"Commerzbank, Deutsche Bank, Goldman Sachs",Common,953.962551737457
GENL LN,2011-06-09,2011-06-17,2011-06-09,2011-06-17,GENL LN,Genel Energy Plc,2298.56,132.84,1000.0,"IPO,Primary Share Offering,SPAC",0.0,0.0,-1.0,"Credit Suisse, JP Morgan",Common,2128.18221
PRW LN,2010-02-15,2010-03-12,2010-02-15,2010-03-12,PRW LN,Promethean World PLC,290.844,0.0,200.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",0.0,5.0,-1.0,"Goldman Sachs, JP Morgan",Common,583.9399999999999
MSK IM,2013-01-11,2013-04-03,2013-01-11,2013-04-03,MSK IM,Moleskine SpA,326.822,106.36,2.3,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",625.201,2.073204996e-06,-0.8695631623,"Goldman Sachs, Mediobanca, UBS",Common,625.201
ARMS LN,2010-06-25,2010-07-09,2010-06-25,2010-07-09,ARMS LN,Asia Resource Minerals Ltd,1039.52,0.0,1000.0,"IPO,Primary Share Offering",0.0,0.0,-0.8500000238,"Credit Suisse, JP Morgan",Common,1038.9474770660402
PST IM,2015-08-11,2015-10-27,2015-08-11,2015-10-27,PST IM,Poste Italiane SpA,3429.61,453.0,6.75,"IPO,Secondary Share Offering,Best Efforts,Government Exit,REG S,Rule 144A",9711.97,2.962962866,-0.7407407165,"Intesa Sanpaolo, Bank of America Merrill Lynch, Citi, Credit Suisse, Goldman Sachs, JP Morgan, Mediobanca, Morgan Stanley, UBS, UniCredit",Common,9711.97
KGX GR,2013-06-03,2013-06-28,2013-06-03,2013-06-28,KGX GR,KION Group AG,549.902,17.23,24.0,"IPO,Primary Share Offering,PE Backed",3093.75,2.291666746,-0.7291666865,"Goldman Sachs, Kohlberg Kravis Roberts & Co, Deutsche Bank, Morgan Stanley",Common,3093.75
JLG LN,2015-01-19,2015-02-12,2015-01-19,2015-02-12,JLG LN,John Laing Group PLC,404.701,220.154,195.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,REG S,Rule 144A",1128.19,2.56410265,-0.5128205419,"Barclays, HSBC",Common,1128.19
