,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner
NPI CN,2015-02-24,2015-02-24,2015-02-24,2015-02-24,NPI CN,Northland Power Inc,183.202,13.75,16.0,"ADDL,Primary Share Offering,Bought Deal",0.0,5.1875,5.0625,1945.6821,6.31689841557578,"BMO Capital Markets, National Bank Financial Inc, CIBC"
FFH CN,2015-02-19,2015-02-19,2015-02-19,2015-02-19,FFH CN,Fairfax Financial Holdings Ltd,598.287,1.0,650.0,"ADDL,Primary Share Offering,Bought Deal,Rule 144A",0.0,1.738461494,1.923076868,12378.2733,26.52998671083835,BMO Capital Markets
CVE CN,2015-02-17,2015-02-17,2015-02-17,2015-02-17,CVE CN,Cenovus Energy Inc,1211.48,67.5,22.25,"ADDL,Primary Share Offering,Bought Deal",0.0,-1.168539286,-0.04494382069,14197.2672,83.24320136312501,"TD Securities, RBC Capital Markets"
AOI CN,2015-02-12,2015-02-13,2015-02-12,2015-02-13,AOI CN,Africa Oil Corp,125.024,57.0,2.74,"ADDL,Primary Share Offering,Best Efforts,Private Placement,QIP",0.0,-9.124088287,-10.94890499,760.081,1.294693766249831,"Pareto Securities, Eight Capital"
CR CN,2015-02-09,2015-02-09,2015-02-09,2015-02-09,CR CN,Crew Energy Inc,80.2262,16.667,6.0,"ADDL,Primary Share Offering,Bought Deal",0.0,-4.166666508,-5.166666508,631.7404,8.10008566974016,GMP Securities
HBC CN,2015-01-22,2015-01-22,2015-01-22,2015-01-22,HBC CN,Hudson's Bay Co,93.3893,4.26,23.6,"ADDL,Secondary Share Offering,Bought Deal",0.0,-0.5084761977,1.652540684,3589.047,8.260373584388654,RBC Capital Markets
DGC CN,2015-01-21,2015-01-21,2015-01-21,2015-01-21,DGC CN,Detour Gold Corp,130.95,11.0,12.8,"ADDL,Primary Share Offering,Private Placement,Bought Deal,QIP,Rule 144A",1765.57,-9.609375954,-10.15625095,1765.57,31.359467832598376,BMO Capital Markets
1457122D CN,2015-01-21,2015-01-21,2015-01-21,2015-01-21,1457122D CN,Romarco Minerals Inc,242.648,517.3,0.58,"ADDL,Primary Share Offering,Bought Deal",582.87,2.877465704e-06,2.877465704e-06,582.87,3.212300513449874,"Cormark Securities Inc, BMO Capital Markets"
RRX CN,2015-01-14,2015-01-14,2015-01-14,2015-01-14,RRX CN,Raging River Exploration Inc,73.7906,12.0,6.4,"ADDL,Primary Share Offering,Private Placement,Bought Deal,QIP",1027.77,24.37499809,25.15624809,1027.77,12.521709615837658,"Peters & Co Ltd, GMP Securities"
YRI CN,2015-01-12,2015-01-12,2015-01-12,2015-01-12,YRI CN,Yamana Gold Inc,250.703,49.1,5.3,"ADDL,Primary Share Offering,Bought Deal",0.0,-0.9433997869,3.962260485,4190.977,25.01949151242148,"National Bank Financial Inc, Canaccord Genuity"
