,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Type,Market cap,ADV,Bookrunner.1
RHIM LN,2019-07-08,2019-07-09,2019-07-08,2019-07-09,RHIM LN,Rhi Magnesita NV,124.185,2.1568,4600.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",2837.45,2.043478251,0.913043499,Jefferies,Stocks,2837.45,3.698042893755262,Jefferies
WAC GR,2019-07-03,2019-07-04,2019-07-03,2019-07-04,WAC GR,Wacker Neuson SE,85.0903,3.7714,20.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1582.5,6.099999905,3.799999952,Bankhaus Lampe KG,Stocks,1582.5,2.542037285889379,Bankhaus Lampe KG
FAGR BB,2019-07-02,2019-07-03,2019-07-02,2019-07-03,FAGR BB,Fagron,131.599,7.1844,16.2,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Private Placement,Rule 144A",1312.96,-0.6172886491,0.3703656495,"Belfius Bank SA/NV, Joh Berenberg Gossler & Co KG, Kempen & Co NV, Kepler Cheuvreux",Stocks,1312.96,2.369199762746739,"Belfius Bank SA/NV, Joh Berenberg Gossler & Co KG, Kempen & Co NV, Kepler Cheuvreux"
FDP LN,2019-07-02,2019-07-03,2019-07-02,2019-07-03,FDP LN,First Derivatives PLC,54.0427,1.4,3060.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block,Sub Sector Flag",1014.05,-0.980392158,-3.594771147,"Goodbody, Investec",Stocks,1014.05,1.3864663807015738,"Goodbody, Investec"
CMBN SW,2019-07-01,2019-07-02,2019-07-01,2019-07-02,CMBN SW,Cembra Money Bank AG,114.251,1.2,94.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",2863.23,2.659574509,5.106382847,"Credit Suisse, Deutsche Bank, Zuercher Kantonalbank",Stocks,2863.23,6.791461223078804,"Credit Suisse, Deutsche Bank, Zuercher Kantonalbank"
BT/A LN,2019-06-27,2019-06-28,2019-06-27,2019-06-28,BT/A LN,BT Group PLC,616.151,248.0,0.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",0.0,,,Citi,Stocks,25001.9006,58.466681591533494,Citi
ONCO SS,2019-06-27,2019-06-28,2019-06-27,2019-06-28,ONCO SS,Oncopeptides AB,78.367,5.015,145.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",839.849,1.448275805,-2.758620739,"Carnegie, Cowen & Co, DNB ASA, Jefferies, Kempen & Co NV",Stocks,839.849,2.7009003549727386,"Carnegie, Cowen & Co, DNB ASA, Jefferies, Kempen & Co NV"
TLG GR,2019-06-26,2019-06-27,2019-06-26,2019-06-27,TLG GR,TLG Immobilien AG,252.822,8.5,26.13,"ADDL,Primary Share Offering,Accelerated Bookbuild,Private Placement",0.0,-1.836965799,-1.645614862,"Deutsche Bank, JP Morgan",Stocks,3097.0311,6.382929465498667,"Deutsche Bank, JP Morgan"
FDR SM,2019-06-26,2019-06-26,2019-06-26,2019-06-26,FDR SM,Fluidra SA,105.441,7.85,11.8,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2627.67,-3.38983202,-4.067798138,"Citi, HSBC",Stocks,2627.67,1.3262789245075999,"Citi, HSBC"
JST GR,2019-06-25,2019-06-26,2019-06-25,2019-06-26,JST GR,JOST Werke AG,53.8982,1.5301,31.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",525.781,-1.612903237,-1.612903237,"Commerzbank, JP Morgan",Stocks,525.781,1.0116548072210751,"Commerzbank, JP Morgan"
KORI FP,2019-06-20,2019-06-20,2019-06-20,2019-06-20,KORI FP,Korian SA,213.422,5.75,32.87,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Private Placement",3043.05,1.36903286,0.3955006897,Morgan Stanley,Stocks,3043.05,5.686187945646293,Morgan Stanley
EVR LN,2019-06-19,2019-06-20,2019-06-19,2019-06-20,EVR LN,Evraz PLC,199.762,24.9,635.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",11712.6,2.67716527,0.1574803144,"Citi, Credit Suisse, UBS",Stocks,11712.6,39.75281698708008,"Citi, Credit Suisse, UBS"
ADYEN NA,2019-06-18,2019-06-19,2019-06-18,2019-06-19,ADYEN NA,Adyen NV,349.267,0.4654,670.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",22238.2,1.462686539,1.850746274,"ABN Amro Bank NV, JP Morgan",Stocks,22238.2,59.368633357489855,"ABN Amro Bank NV, JP Morgan"
IFX GR,2019-06-17,2019-06-24,2019-06-17,2019-06-24,IFX GR,Infineon Technologies AG,1734.42,112.774,13.7,"ADDL,Primary Share Offering,Accelerated Bookbuild,Private Placement",0.0,8.671534538,8.788322449,"Bank of America Merrill Lynch, Credit Suisse, JP Morgan",Stocks,17630.9072,156.1274768334097,"Bank of America Merrill Lynch, Credit Suisse, JP Morgan"
MKS LN,2019-06-13,2019-06-13,2019-06-13,2019-06-13,MKS LN,Marks & Spencer Group PLC,129.133,48.2693,211.0,"ADDL,Primary Share Offering,Rump Placement",5216.94,1.563981056,2.369668245,Morgan Stanley,Stocks,5216.94,29.34857557173588,Morgan Stanley
ASC LN,2019-06-13,2019-06-13,2019-06-13,2019-06-13,ASC LN,ASOS PLC,132.882,3.4532,3035.0,"ADDL,Secondary Share Offering,Best Efforts,Sub Sector Flag",3227.46,3.327841759,2.965403557,Goldman Sachs,Stocks,3227.46,17.603046949305778,Goldman Sachs
VAR1 GR,2019-06-13,2019-06-14,2019-06-13,2019-06-14,VAR1 GR,Varta AG,116.992,2.2217,46.7,"ADDL,Primary Share Offering",0.0,9.421839714,14.34689331,Joh Berenberg Gossler & Co KG,Stocks,2162.3309,4.168537788733539,Joh Berenberg Gossler & Co KG
ADS GR,2019-06-12,2019-06-12,2019-06-12,2019-06-12,ADS GR,adidas AG,406.691,1.3967,257.75,"ADDL,Secondary Share Offering,Accelerated Bookbuild",58357.3,-0.3491755724,0.6207565665,Goldman Sachs,Stocks,58357.3,204.25267582136345,Goldman Sachs
MTRS SS,2019-06-12,2019-06-13,2019-06-12,2019-06-13,MTRS SS,Munters Group AB,116.183,25.0,44.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",851.612,2.5,-1.136363626,"Carnegie, Jefferies",Stocks,851.612,1.1004400439385313,"Carnegie, Jefferies"
LHN SW,2019-06-11,2019-06-12,2019-06-11,2019-06-12,LHN SW,LafargeHolcim Ltd,758.712,15.45,48.7,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",29702.0,-1.293636084,0.6981503963,"Goldman Sachs, UBS",Stocks,29702.0,102.75404934966963,"Goldman Sachs, UBS"
SF SS,2019-06-11,2019-06-12,2019-06-11,2019-06-12,SF SS,Stillfront Group AB,52.9868,2.0807,240.4,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S",665.397,5.449254036,5.657240391,"Carnegie, Swedbank",Stocks,665.397,1.5042114440741712,"Carnegie, Swedbank"
AJB LN,2019-06-06,2019-06-07,2019-06-06,2019-06-07,AJB LN,AJ Bell PLC,183.532,38.0,380.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1973.08,10.0,5.263157845,Numis,Stocks,1973.08,4.1618085850977655,Numis
BFSA GR,2019-06-05,2019-06-06,2019-06-05,2019-06-06,BFSA GR,Befesa SA,242.571,6.3502,34.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1308.03,4.117647171,3.823529482,"Citi, JP Morgan",Stocks,1308.03,2.4021725387492228,"Citi, JP Morgan"
RESURS SS,2019-06-04,2019-06-05,2019-06-04,2019-06-05,RESURS SS,Resurs Holding AB,113.641,19.8653,54.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1144.12,2.685185194,4.074074268,"Carnegie, Morgan Stanley, SEB",Stocks,1144.12,2.995339336925637,"Carnegie, Morgan Stanley, SEB"
ENTRA NO,2019-06-04,2019-06-05,2019-06-04,2019-06-05,ENTRA NO,Entra ASA,287.859,20.2781,123.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit",2599.48,2.834007978,2.834007978,"ABG Sundal Collier Asa, Carnegie, UBS",Stocks,2599.48,2.342794414461624,"ABG Sundal Collier Asa, Carnegie, UBS"
SEQI LN,2019-06-03,2019-06-27,2019-06-03,2019-06-27,SEQI LN,Sequoia Economic Infrastructur,98.924,72.4941,108.0,"ADDL,Primary Share Offering,REG S",1720.95,5.0,5.185184956,Stifel,Stocks,1720.95,2.0812840030660658,Stifel
SRP LN,2019-05-23,2019-05-28,2019-05-23,2019-05-28,SRP LN,Serco Group PLC,177.66,111.216,126.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1954.26,6.428571224,4.126984119,"Bank of America Merrill Lynch, Barclays",Stocks,1954.26,2.3560493011168897,"Bank of America Merrill Lynch, Barclays"
BG AV,2019-05-23,2019-05-24,2019-05-23,2019-05-24,BG AV,BAWAG Group AG,374.373,9.3,36.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",4025.52,4.166666508,4.5,"Citi, Goldman Sachs, Morgan Stanley",Stocks,4025.52,2.2349997471373513,"Citi, Goldman Sachs, Morgan Stanley"
SKG ID,2019-05-22,2019-05-22,2019-05-22,2019-05-22,SKG ID,Smurfit Kappa Group PLC,197.794,7.049,25.15,"ADDL,Secondary Share Offering,PE Exit,Accelerated Bookbuild",6664.53,1.78926599,-0.5964199901,Goldman Sachs,Stocks,6664.53,17.415570877802374,Goldman Sachs
HL/ LN,2019-05-21,2019-05-22,2019-05-21,2019-05-22,HL/ LN,Hargreaves Lansdown PLC,217.683,7.5,2280.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",13707.4,0.1315789521,-0.3508771956,Barclays,Stocks,13707.4,20.52409077229474,Barclays
ABDP LN,2019-05-20,2019-06-07,2019-05-20,2019-06-07,ABDP LN,AB Dynamics PLC,57.3807,2.05,2200.0,"ADDL,Primary Share Offering,Best Efforts,Sub Sector Flag,REG S",0.0,17.04545403,21.81818199,Cantor Fitzgerald,Stocks,609.6813,1.3688920305646288,Cantor Fitzgerald
MTRO LN,2019-05-16,2019-06-05,2019-05-16,2019-06-05,MTRO LN,Metro Bank PLC,479.812,75.0,500.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1103.06,40.0,33.90000153,"Jefferies, Stifel, RBC Capital Markets",Stocks,1103.06,5.5682020154703,"Jefferies, Stifel, RBC Capital Markets"
AML LN,2019-05-16,2019-05-16,2019-05-16,2019-05-16,AML LN,Aston Martin Lagonda Global Ho,110.037,10.75,800.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",2333.83,9.375,8.75,Credit Suisse,Stocks,2333.83,4.727966806616366,Credit Suisse
VNA GR,2019-05-13,2019-05-21,2019-05-13,2019-05-21,VNA GR,Vonovia SE,836.053,16.5,45.1,"ADDL,Primary Share Offering,Accelerated Bookbuild,Private Placement",0.0,5.764970303,4.478939056,"Credit Suisse, JP Morgan, Morgan Stanley",Stocks,27135.6633,74.77978273219435,"Credit Suisse, JP Morgan, Morgan Stanley"
CPR IM,2019-05-13,2019-05-13,2019-05-13,2019-05-13,CPR IM,Davide Campari-Milano SpA,68.9476,6.9031,8.89,"ADDL,Secondary Share Offering,Accelerated Bookbuild",11601.9,1.687285185,2.249714851,Goldman Sachs,Stocks,11601.9,22.793504659679005,Goldman Sachs
HFG GR,2019-05-13,2019-05-14,2019-05-13,2019-05-14,HFG GR,HelloFresh SE,392.935,43.7177,8.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1476.33,10.0,13.625,Joh Berenberg Gossler & Co KG,Stocks,1476.33,1.8132761438414702,Joh Berenberg Gossler & Co KG
AVST LN,2019-05-10,2019-05-10,2019-05-10,2019-05-10,AVST LN,Avast PLC,81.7031,20.9061,300.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Private Placement",3730.33,0.3333333433,-0.6666666865,UBS,Stocks,3730.33,7.2024769075517945,UBS
BRW LN,2019-05-10,2019-05-14,2019-05-10,2019-05-14,BRW LN,Brewin Dolphin Holdings PLC,78.1619,19.6721,305.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1204.43,0.2622950673,-0.6557376981,"Liberum Capital Ltd, RBC Capital Markets",Stocks,1204.43,1.1497302034764862,"Liberum Capital Ltd, RBC Capital Markets"
FBK IM,2019-05-07,2019-05-08,2019-05-07,2019-05-08,FBK IM,FinecoBank Banca Fineco SpA,1133.65,103.515,9.8,"ADDL,Secondary Share Offering,Accelerated Bookbuild",6668.52,3.469385624,1.836732745,"UniCredit, JP Morgan, UBS",Stocks,6668.52,29.355883037724837,"UniCredit, JP Morgan, UBS"
ADYEN NA,2019-05-02,2019-05-03,2019-05-02,2019-05-03,ADYEN NA,Adyen NV,838.319,1.1029,680.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",22531.8,-2.941176414,-2.441176414,"JP Morgan, Morgan Stanley",Stocks,22531.8,48.78338757446341,"JP Morgan, Morgan Stanley"
SXX LN,2019-04-30,2019-05-23,2019-04-30,2019-05-23,SXX LN,Sirius Minerals PLC,383.911,1962.43,15.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1369.1,2.666666746,1.0,"JP Morgan, Liberum Capital Ltd",Stocks,1369.1,7.415496845735192,"JP Morgan, Liberum Capital Ltd"
RUI FP,2019-04-11,2019-04-12,2019-04-11,2019-04-12,RUI FP,Rubis SCA,266.617,5.093,46.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",5100.38,3.526881695,4.731182575,Credit Agricole CIB,Stocks,5100.38,9.118359124851285,Credit Agricole CIB
ETO LN,2019-04-11,2019-04-16,2019-04-11,2019-04-16,ETO LN,Entertainment One Ltd,169.936,28.9,450.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",2907.62,3.822222233,4.266666889,"Investec, JP Morgan",Stocks,2907.62,4.221318996304499,"Investec, JP Morgan"
PETS LN,2019-04-11,2019-04-12,2019-04-11,2019-04-12,PETS LN,Pets at Home Group Plc,104.907,54.246,148.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",968.512,-5.270270348,-3.581081152,Bank of America Merrill Lynch,Stocks,968.512,3.082673922199944,Bank of America Merrill Lynch
TGYM IM,2019-04-08,2019-04-09,2019-04-08,2019-04-09,TGYM IM,Technogym SpA,162.47,14.0,10.3,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2333.28,0.7766971588,-0.1941765994,Citi,Stocks,2333.28,6.031891629319111,Citi
BFSA GR,2019-04-04,2019-04-05,2019-04-04,2019-04-05,BFSA GR,Befesa SA,187.806,4.5,37.2,"ADDL,Secondary Share Offering,VC Backed,VC Exit,Accelerated Bookbuild",1421.25,1.478492498,0.8064495325,"Citi, Goldman Sachs, JP Morgan",Stocks,1421.25,1.4530633849979175,"Citi, Goldman Sachs, JP Morgan"
AZN LN,2019-03-28,2019-03-29,2019-03-28,2019-03-29,AZN LN,AstraZeneca PLC,3510.31,44.3862,6050.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",103114.0,1.818181872,1.966942191,"Goldman Sachs, Morgan Stanley",Stocks,103114.0,168.77045807027096,"Goldman Sachs, Morgan Stanley"
AENA SM,2019-03-28,2019-03-29,2019-03-28,2019-03-29,AENA SM,Aena SME SA,215.078,1.2,159.53,"ADDL,Secondary Share Offering,Accelerated Bookbuild",26851.3,0.7334051728,0.7334051728,Bank of America Merrill Lynch,Stocks,26851.3,34.1272893820391,Bank of America Merrill Lynch
BFF IM,2019-03-28,2019-03-29,2019-03-28,2019-03-29,BFF IM,Banca Farmafactoring SpA,133.966,22.0,5.42,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1034.55,-7.749078751,-7.841329575,Jefferies,Stocks,1034.55,2.8923657360555417,Jefferies
AVST LN,2019-03-27,2019-03-27,2019-03-27,2019-03-27,AVST LN,Avast PLC,358.15,95.4,284.0,"ADDL,Secondary Share Offering",3581.58,-0.686619699,-0.07042253762,UBS,Stocks,3581.58,3.605475098640827,UBS
